frame_id,file_path,file_base,file_exists,repID,camID,time,rank,score,head_x,head_y,head_score,middle_x,middle_y,middle_score,tail_x,tail_y,tail_score,centroid_x,centroid_y,size_px,x_dim,y_dim
frame468__s168316,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s168316_rank468.jpg,processed_rep67__cam6_s168316_rank468.jpg,FALSE,rep67,cam6,168316,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame469__s168677,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s168677_rank469.jpg,processed_rep67__cam6_s168677_rank469.jpg,FALSE,rep67,cam6,168677,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame470__s169037,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s169037_rank470.jpg,processed_rep67__cam6_s169037_rank470.jpg,FALSE,rep67,cam6,169037,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame471__s169398,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s169398_rank471.jpg,processed_rep67__cam6_s169398_rank471.jpg,FALSE,rep67,cam6,169398,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame472__s169758,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s169758_rank472.jpg,processed_rep67__cam6_s169758_rank472.jpg,FALSE,rep67,cam6,169758,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame473__s170118,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s170118_rank473.jpg,processed_rep67__cam6_s170118_rank473.jpg,FALSE,rep67,cam6,170118,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame474__s170479,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s170479_rank474.jpg,processed_rep67__cam6_s170479_rank474.jpg,FALSE,rep67,cam6,170479,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame475__s170839,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s170839_rank475.jpg,processed_rep67__cam6_s170839_rank475.jpg,FALSE,rep67,cam6,170839,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame476__s171200,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s171200_rank476.jpg,processed_rep67__cam6_s171200_rank476.jpg,FALSE,rep67,cam6,171200,476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame477__s171560,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s171560_rank477.jpg,processed_rep67__cam6_s171560_rank477.jpg,FALSE,rep67,cam6,171560,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
