b,rss,scale,sl,ava_toxic,on_toxic
5,0.5,100,50.18192278688515,0.34749287013296526,0.3049
0,0.5,100,50.16091142417345,0.37523579704701926,0.2958
-5,0.5,100,49.636367440348636,0.4089899940744772,0.3272
5,1,100,47.99889002980835,0.24777416034066638,0.1542
0,1,100,46.26916281929729,0.31010414038118767,0.1688
-5,1,100,47.144069490526384,0.33542060421797865,0.1838
5,0,10,5.668086028869054,0.2091417688104522,0.2082
0,0,10,5.621335608010826,0.510414649607242,0.5122
-5,0,10,5.843306835988992,0.5128917723841276,0.5145
5,0.5,10,5.743591888975663,0.3746893721741965,0.36920000000000003
0,0.5,10,5.729465752718994,0.2041613779918157,0.1928
-5,0.5,10,5.612463074710887,0.2541642754835656,0.2356
5,1,10,5.536843802750583,0.6464314934923131,0.6386000000000001
0,1,10,5.600083941912889,0.14369679327657234,0.1186
-5,1,10,5.513870991049957,0.16793013053961264,0.1295
5,0,30,16.60657503802859,0.5392226456806354,0.5421
0,0,30,16.432877943126694,0.44550141104819424,0.4431
